date,low,high,open,coinbase_close,coinbase_volume
2023-11-09,69.36,76.26,73.1,73.86,331764.7184689
2023-11-10,70.74,75.45,73.86,73.3,230291.38458228
2023-11-11,70.94,75.97,73.31,75.28,305004.88274459
2023-11-12,72.16,76.85,75.29,74.92,177454.04221072
2023-11-13,70.51,76.1,74.94,71.13,191235.72710835
2023-11-14,68.02,72.56,71.11,70.64,281789.09061033
2023-11-15,70.54,74.46,70.63,74.17,154249.13463654
2023-11-16,69.79,74.4,74.17,70.98,171721.44435718
2023-11-17,68.05,71.64,70.99,70.31,313090.05402766
2023-11-18,67.53,70.37,70.33,69.91,71627.1320414
2023-11-19,68.54,70.74,69.92,70.6,72758.51427302
2023-11-20,68.71,71.06,70.61,69.57,93325.63806735
2023-11-21,65.22,71.88,69.57,66.19,212464.46678993
2023-11-22,66.03,69.15,66.19,68.73,95538.35806527
2023-11-23,68.43,70.75,68.73,69.53,110130.21556713
2023-11-24,69.45,71.8,69.52,70.79,102561.14053673
2023-11-25,70.58,72.27,70.79,71.89,61593.52453924
2023-11-26,68.93,71.91,71.9,70.05,68899.80848026
2023-11-27,67.93,70.52,70.06,69.22,95404.69746727
2023-11-28,67.81,70.28,69.24,69.78,105633.68555075
2023-11-29,69.14,70.48,69.81,70.01,60625.93698494
2023-11-30,69.1,70.17,70.02,69.44,64323.99135507
2023-12-01,69.21,72.35,69.44,71.63,188433.58826298
2023-12-02,71.24,72.75,71.63,72.23,75829.01408429
2023-12-03,71.34,72.76,72.24,72.32,84418.65546699
2023-12-04,71.87,75.09,72.34,72.91,337731.31171387
2023-12-05,71.19,74.4,72.91,74.36,179054.58484085
2023-12-06,72.16,74.9,74.36,72.44,186551.81041852
2023-12-07,71.87,74.5,72.42,74.03,142739.64931753
2023-12-08,73.35,78.9,74.05,78.53,310903.89201764
2023-12-09,75.8,79.54,78.53,76.35,194489.25721467
2023-12-10,76.36,79.01,76.36,77.18,134466.90158256
2023-12-11,70.63,77.52,77.19,72.65,245008.3701612
2023-12-12,70.96,73.74,72.65,72.34,125941.88391021
2023-12-13,70.11,74.07,72.35,73.17,163237.43874782
2023-12-14,71.21,74.04,73.17,72.92,279155.64519077
2023-12-15,70.56,72.97,72.92,70.93,151215.05130184
2023-12-16,70.45,72.48,70.94,72.15,87119.60408656
2023-12-17,70.81,73.54,72.17,71.14,96440.66740389
2023-12-18,67.99,71.5,71.15,70.86,146304.69728791
2023-12-19,69.64,71.61,70.86,70.7,90395.36381106
2023-12-20,69.37,71.89,70.71,69.82,193718.60148812
2023-12-21,68.93,71.08,69.82,70.93,149082.91325652
2023-12-22,70.31,73.86,70.93,73.66,216280.64635575
2023-12-23,71.45,74.17,73.65,72.5,153795.6655527
2023-12-24,70.01,72.99,72.5,71.15,142026.28939251
2023-12-25,70.6,72.79,71.16,72.22,92321.57138777
2023-12-26,71.06,74.42,72.26,73.25,228024.52019498
2023-12-27,72.08,77.31,73.25,76.05,335929.18414893
2023-12-28,74.54,77.65,76.03,76.51,315712.42116508
2023-12-29,72.8,77.85,76.54,73.22,315107.79997357
2023-12-30,72.38,73.99,73.21,73.23,175907.48106892
2023-12-31,71.45,74.21,73.24,72.81,117693.68339891
2024-01-01,72.05,74.83,72.81,74.75,112009.56093292
2024-01-02,72.5,75.94,74.75,72.98,163486.58739399
2024-01-03,60.0,73.63,72.99,65.29,330936.15727392
2024-01-04,64.57,67.18,65.28,66.49,238707.22206345
2024-01-05,63.51,66.81,66.49,66.06,236222.08405657
2024-01-06,63.27,66.16,66.06,65.7,101258.03053944
2024-01-07,63.72,66.41,65.69,64.31,86854.59051206
2024-01-08,61.1,68.44,64.31,67.81,283313.48603498
2024-01-09,64.21,67.87,67.8,67.01,265463.70738217
2024-01-10,65.0,71.26,67.0,70.12,290115.20805102
2024-01-11,69.57,74.66,70.13,71.88,289293.01324706
2024-01-12,70.41,77.1,71.9,72.94,430416.55553513
2024-01-13,71.0,73.57,72.96,72.0,160136.12236067
2024-01-14,69.43,72.29,72.0,69.74,172836.81144939
2024-01-15,68.72,71.58,69.76,69.08,127742.88911286
2024-01-16,68.32,70.54,69.08,69.4,132351.68677201
2024-01-17,68.28,69.95,69.4,69.39,98480.97340796
2024-01-18,66.15,70.25,69.4,68.04,175124.55354662
2024-01-19,66.88,71.5,68.06,71.26,202916.06839042
2024-01-20,70.42,72.73,71.23,71.31,167567.3021948
2024-01-21,70.45,72.28,71.31,71.67,94973.34533082
2024-01-22,66.57,72.67,71.67,67.31,261850.79257689
2024-01-23,63.13,68.37,67.29,65.46,194779.51697209
2024-01-24,64.83,66.34,65.47,66.12,125059.60969504
2024-01-25,64.54,66.14,66.11,65.48,105179.89108335
2024-01-26,65.17,67.53,65.44,67.02,108588.19448834
2024-01-27,66.33,68.34,67.03,68.07,78215.11571326
2024-01-28,67.31,68.49,68.07,68.36,78396.68145709
2024-01-29,66.8,68.79,68.36,68.42,115414.02646123
2024-01-30,67.16,68.75,68.44,67.5,97842.79313159
2024-01-31,66.1,69.99,67.48,66.73,125558.06659432
2024-02-01,65.66,68.11,66.72,67.52,91465.19641624
2024-02-02,67.29,68.38,67.53,68.02,73508.50511231
2024-02-03,67.87,69.17,68.02,68.8,74508.1524104
2024-02-04,66.46,68.88,68.81,66.92,97590.98095528
2024-02-05,66.55,68.18,66.91,67.63,75942.9294412
2024-02-06,67.48,68.8,67.63,68.26,104296.25870481
2024-02-07,67.68,68.79,68.27,68.62,245248.8327213
2024-02-08,68.37,70.67,68.61,70.55,133803.37292202
2024-02-09,70.1,71.95,70.54,70.69,205645.64693709
