"time","equity","fundingRate","annualized","inPosition","spot","mark"
"1774486800000","101193.33240986535","8.36121339412578E-07","0.006163462803928207","False","71276.95","71276.95"
"1774490400000","101193.33240986535","7.39277077586808E-07","0.006686986548402155","False","71228.28","71228.28"
"1774494000000","101193.33240986535","0.0000016187139137492977","0.008235685969645537","False","70864.09","70864.09"
"1774497600000","101193.33240986535","0.0000011879382549688583","0.007626579052764956","False","70874.35","70874.35"
"1774501200000","101193.33240986535","0.0000014919641468572999","0.008469043492964203","False","70743.07","70743.07"
"1774504800000","101193.33240986535","0.0000013810744906822817","0.00977931895772436","False","69981.63","69981.63"
"1774508400000","101193.33240986535","0.0000029255272380356598","0.012801561858158757","False","70063.42","70063.42"
"1774512000000","101193.33240986535","0.0000024337648201073104","0.013953619471524344","False","70061.24","70061.24"
"1774515600000","101193.33240986535","2.30572699264662E-08","0.013060366370127877","False","69991.6","69991.6"
"1774519200000","101193.33240986535","0","0.012242492723657836","False","69545.13","69545.13"
"1774522800000","101193.33240986535","3.83667603662037E-10","0.01041689598555534","False","69484.41","69484.41"
"1774526400000","101193.33240986535","0","0.009117423464056224","False","69246.7","69246.7"
"1774530000000","101193.33240986535","0","0.007469860682620543","False","69409.54","69409.54"
"1774533600000","101193.33240986535","3.56788836328038E-07","0.006287363798933728","False","69618.89","69618.89"
"1774537200000","101193.33240986535","0","0.0030875157494268616","False","69452.04","69452.04"
"1774540800000","101193.33240986535","-4.21506349099912E-08","0.0003734631336797364","False","69054.38","69054.38"
"1774544400000","101193.33240986535","2.10153683788468E-08","0.0003711934508762597","False","68890.16","68890.16"
"1774548000000","101193.33240986535","0","0.00036882564188185575","False","68444.47","68444.47"
"1774551600000","101193.33240986535","0","0.00036808387021252515","False","68450.24","68450.24"
"1774555200000","101193.33240986535","0","0.00036682463498568477","False","68485.21","68485.21"
"1774558800000","101193.33240986535","0.0000013941852189208822","0.001914924703074509","False","68965.44","68965.44"
"1774562400000","101193.33240986535","0","0.0015288382757020148","False","68882.37","68882.37"
"1774566000000","101193.33240986535","4.56049713171096E-09","0.001529316514294073","False","68845.73","68845.73"
"1774569600000","101193.33240986535","0","0.0015673384670823636","False","68780.3","68780.3"
"1774573200000","101193.33240986535","0","0.0015406540357443463","False","68738.52","68738.52"
"1774576800000","101193.33240986535","0","0.0015306866601831502","False","69007.08","69007.08"
"1774580400000","101193.33240986535","0","0.0015308157000022806","False","68866.98","68866.98"
"1774584000000","101193.33240986535","0","0.0015315977662891053","False","68728.56","68728.56"
"1774587600000","101193.33240986535","-2.71927788612056E-07","-0.00029378742531521783","False","68536.43","68536.43"
"1774591200000","101193.33240986535","0","-0.0002934335535582779","False","68583.84","68583.84"
"1774594800000","101193.33240986535","0","-0.00029826855808036016","False","68618.46","68618.46"
"1774598400000","101193.33240986535","0.000012984435579703569","0.013953505620004178","False","68487.71","68487.71"
"1774602000000","101193.33240986535","0.0000020754369255824326","0.016242748250891215","False","67882.97","67882.97"
"1774605600000","101193.33240986535","7.23833937359668E-11","0.0163062889103698","False","67654.59","67654.59"
"1774609200000","101193.33240986535","-4.97659377114618E-08","0.016217713206262946","False","66466.57","66466.57"
"1774612800000","101193.33240986535","2.2946726971876E-07","0.016444933988172657","False","66677.45","66677.45"
"1774616400000","101193.33240986535","1.38551071005364E-08","0.01671148520321076","False","66592.29","66592.29"
"1774620000000","101193.33240986535","0.0000012245465997108496","0.01810402501966777","False","66145.74","66145.74"
"1774623600000","101193.33240986535","-4.30934358203215E-07","0.017623650524267766","False","66165.05","66165.05"
"1774627200000","101193.33240986535","0.0000030003648719087535","0.00678320311927792","False","66077.63","66077.63"
"1774630800000","101193.33240986535","0.000004433884125935672","0.009458523337349633","False","65946.4","65946.4"
"1774634400000","101193.33240986535","0.000002896956545455501","0.012680957976759074","False","65592.12","65592.12"
"1774638000000","101193.33240986535","8.33992441690156E-07","0.013437212590167063","False","65791.79","65791.79"
"1774641600000","101193.33240986535","0.000004043944043837136","0.017715509385995004","False","65994.86","65994.86"
"1774645200000","101193.33240986535","8.75111848861897E-08","0.01777442350626357","False","65969.76","65969.76"
"1774648800000","101193.33240986535","0","0.016323346043477654","False","66039.23","66039.23"
"1774652400000","101193.33240986535","0","0.01680012221286166","False","65986.63","65986.63"
"1774656000000","101193.33240986535","0","0.013462136915430212","False","66364.08","66364.08"
"1774659600000","101193.33240986535","0","0.00862460083041895","False","66386.51","66386.51"
"1774663200000","101193.33240986535","0","0.0054231416230003165","False","66134.43","66134.43"
"1774666800000","101193.33240986535","0","0.004413768696878849","False","66009.7","66009.7"
"1774670400000","101193.33240986535","0","0.00009582474745037778","False","66191.68","66191.68"
"1774674000000","101193.33240986535","0","0","False","66242.78","66242.78"
"1774677600000","101193.33240986535","0","0","False","66304.72","66304.72"
"1774681200000","101193.33240986535","0","0","False","66348.36","66348.36"
"1774684800000","101193.33240986535","-0.0000010511300046076127","-0.001151260059920352","False","66515.56","66515.56"
"1774688400000","101193.33240986535","-0.000003309869135480928","-0.004768924181071425","False","66370.06","66370.06"
"1774692000000","101193.33240986535","-7.60099306318076E-07","-0.005580169667461473","False","66266.39","66266.39"
"1774695600000","101193.33240986535","-3.41051590719568E-09","-0.0055733654771045905","False","66179.39","66179.39"
"1774699200000","101193.33240986535","-9.09494784207187E-08","-0.005688338680947196","False","66283.18","66283.18"
"1774702800000","101193.33240986535","-7.22502416354369E-10","-0.005693520738330076","False","66413.95","66413.95"
"1774706400000","101193.33240986535","-6.53149392761751E-10","-0.005699558460437471","False","66800.82","66800.82"
"1774710000000","101193.33240986535","0","-0.005703309757950128","False","66704.38","66704.38"
"1774713600000","101193.33240986535","0","-0.00456379440169671","False","66975.12","66975.12"
"1774717200000","101193.33240986535","5.10688495394908E-10","-0.0009368784563786222","False","66885.5","66885.5"
"1774720800000","101193.33240986535","0","-0.00010440637811712671","False","66811.56","66811.56"
"1774724400000","101193.33240986535","0","-0.00010053969284665354","False","66872.05","66872.05"
"1774728000000","101193.33240986535","0","-9.5150389526875E-07","False","66867.68","66867.68"
"1774731600000","101193.33240986535","0","-1.60680130794195E-07","False","66873.12","66873.12"
"1774735200000","101193.33240986535","0","5.57748597260535E-07","False","66638.48","66638.48"
"1774738800000","101193.33240986535","3.96652440779731E-09","0.00000490458281680302","False","66704.56","66704.56"
"1774742400000","101193.33240986535","4.02726167214735E-09","0.000009352227862449576","False","66326.12","66326.12"
"1774746000000","101193.33240986535","8.35932742530698E-07","0.0009318474420938995","False","66445.11","66445.11"
"1774749600000","101193.33240986535","5.78342303387165E-07","0.0015675947492387945","False","66521.34","66521.34"
"1774753200000","101193.33240986535","0.0000037304326695976602","0.005675373568913527","False","66761.29","66761.29"
"1774756800000","101193.33240986535","0.0000014917065727336002","0.007311024384566771","False","66859.81","66859.81"
"1774760400000","101193.33240986535","0.0000011738794184641825","0.008597273022331915","False","66688.97","66688.97"
"1774764000000","101193.33240986535","5.83112888921954E-08","0.008630263700055834","False","66727.36","66727.36"
"1774767600000","101193.33240986535","9.40702130304784E-10","0.008636150639177793","False","66691.29","66691.29"
"1774771200000","101193.33240986535","0.0000090348108038572","0.018421717473424398","False","66621.74","66621.74"
"1774774800000","101193.33240986535","0.000011453263756846058","0.03004585159462172","False","66677.49","66677.49"
"1774778400000","101193.33240986535","0.0000020084862853569647","0.031640452740645135","False","66582.14","66582.14"
"1774782000000","101193.33240986535","7.67164951355537E-08","0.0277392558289428","False","66458.94","66458.94"
"1774785600000","101193.33240986535","0.0000011597027267635464","0.027421895829523736","False","66769.18","66769.18"
"1774789200000","101193.33240986535","0.000004609809288139745","0.031111391264997314","False","66799.01","66799.01"
"1774792800000","101193.33240986535","0.0000016309269280248657","0.032849362580933135","False","66526.9","66526.9"
"1774796400000","101193.33240986535","8.07394662545583E-07","0.03371685787378124","False","66543.1","66543.1"
"1774800000000","101193.33240986535","5.80920475680969E-08","0.023862581069949457","False","66476.74","66476.74"
"1774803600000","101193.33240986535","8.87566166778694E-07","0.012305550944532897","False","66446.32","66446.32"
"1774807200000","101193.33240986535","1.0177435553572E-07","0.010203477047085975","False","66333.56","66333.56"
"1774810800000","101193.33240986535","3.65367954555922E-08","0.01014083137045577","False","66375.82","66375.82"
