date,turnover,weights
2015-04-30,0.014948200396301507,"{'SPY': 0.16113094769996, 'QQQ': 0.09095058444494775, 'TLT': 0.1502880304476059, 'IEF': 0.0484186378523915, 'TIP': 0.0, 'LQD': 0.10715935267675727, 'HYG': 0.22697043990963853, 'DBC': 0.09579372444713802, 'GLD': 0.0, 'SHY': 0.11928828252156104}"
2015-05-29,0.011486803573589964,"{'SPY': 0.16008176676421576, 'QQQ': 0.0917772150247751, 'TLT': 0.1487448757589428, 'IEF': 0.046322635876089514, 'TIP': 0.0, 'LQD': 0.10985721209427309, 'HYG': 0.2262670750960625, 'DBC': 0.09545333629860935, 'GLD': 0.0022189117894518343, 'SHY': 0.11927697129758011}"
2015-06-30,0.03325442466722885,"{'SPY': 0.16530174556208693, 'QQQ': 0.0921460906524646, 'TLT': 0.15203826709545418, 'IEF': 0.036412670748493046, 'TIP': 0.0, 'LQD': 0.10871169720197978, 'HYG': 0.23085511609161882, 'DBC': 0.09861026187459543, 'GLD': 0.0, 'SHY': 0.11592415077330732}"
2015-07-31,0.05553242553455965,"{'SPY': 0.1712861534829535, 'QQQ': 0.08085768003656653, 'TLT': 0.155064801516174, 'IEF': 0.021437012435437233, 'TIP': 0.0, 'LQD': 0.11395884409506273, 'HYG': 0.24336253195484386, 'DBC': 0.09961096954398087, 'GLD': 0.0, 'SHY': 0.11442200693498138}"
2015-08-31,0.019280514783316414,"{'SPY': 0.1761056374936055, 'QQQ': 0.07807364267662058, 'TLT': 0.15552325530105982, 'IEF': 0.015244954833767973, 'TIP': 0.0, 'LQD': 0.11713167038381243, 'HYG': 0.24422248912228645, 'DBC': 0.09894680711393786, 'GLD': 0.0, 'SHY': 0.11475154307490947}"
2015-09-30,0.02725363048051195,"{'SPY': 0.18023160853862386, 'QQQ': 0.08071973807504883, 'TLT': 0.16018858303752748, 'IEF': 0.008645876573197193, 'TIP': 0.0, 'LQD': 0.11539939746318965, 'HYG': 0.24013921534518634, 'DBC': 0.10113622817427959, 'GLD': 0.0, 'SHY': 0.11353935279294718}"
2015-10-30,0.039681704931295525,"{'SPY': 0.18469734534018983, 'QQQ': 0.07295096865667823, 'TLT': 0.16140191717412145, 'IEF': 0.0005319263177326196, 'TIP': 0.0, 'LQD': 0.117238511647276, 'HYG': 0.2524618826885878, 'DBC': 0.09914705557030087, 'GLD': 0.0, 'SHY': 0.11157039260511331}"
2015-11-30,0.04179577966839389,"{'SPY': 0.19038924284011807, 'QQQ': 0.07554575323247464, 'TLT': 0.1696687440895918, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.11035450643528548, 'HYG': 0.23971807722721505, 'DBC': 0.10349143641330279, 'GLD': 0.0, 'SHY': 0.11083223976201224}"
2015-12-31,0.03870456321980641,"{'SPY': 0.18727172323457564, 'QQQ': 0.08212877528995187, 'TLT': 0.1628669481736429, 'IEF': 0.003449644962635706, 'TIP': 0.0, 'LQD': 0.10585974603949191, 'HYG': 0.24048123367111376, 'DBC': 0.09855323072068452, 'GLD': 0.004741822355198766, 'SHY': 0.11464687555270507}"
2016-01-29,0.03242980125852155,"{'SPY': 0.18219866386275024, 'QQQ': 0.08651956406827666, 'TLT': 0.1592946429216472, 'IEF': 0.004635444517109817, 'TIP': 0.0, 'LQD': 0.10188371449981375, 'HYG': 0.24444637635346145, 'DBC': 0.09495972625492294, 'GLD': 0.008149489380699345, 'SHY': 0.11791237814131862}"
2016-02-29,0.0326664759919021,"{'SPY': 0.17486649642462157, 'QQQ': 0.0831406095959286, 'TLT': 0.15886937424375602, 'IEF': 0.0033309809239429992, 'TIP': 0.0, 'LQD': 0.10351637702042515, 'HYG': 0.25614569484057575, 'DBC': 0.09106734244050661, 'GLD': 0.00916564761351088, 'SHY': 0.11989747689673244}"
2016-03-31,0.02552709435467085,"{'SPY': 0.17410337896598307, 'QQQ': 0.08396601435766442, 'TLT': 0.15574395774677716, 'IEF': 0.0005165667320413615, 'TIP': 0.0, 'LQD': 0.10208733381196107, 'HYG': 0.25938709216384476, 'DBC': 0.08643578661915434, 'GLD': 0.016155851032971427, 'SHY': 0.12160401856960257}"
2016-04-29,0.03312460016094927,"{'SPY': 0.17585918728359803, 'QQQ': 0.08618098944014414, 'TLT': 0.1522559940220546, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.09441733025859732, 'HYG': 0.26081229321091076, 'DBC': 0.08154802054880729, 'GLD': 0.025636373175314607, 'SHY': 0.12328981206057327}"
2016-05-31,0.060604528661507714,"{'SPY': 0.18365382931422058, 'QQQ': 0.08786476974333779, 'TLT': 0.14489893383171767, 'IEF': 0.0002960220193838868, 'TIP': 0.0, 'LQD': 0.08862567233354386, 'HYG': 0.24713703409292753, 'DBC': 0.0780697334514271, 'GLD': 0.041983792067356994, 'SHY': 0.1274702131460847}"
2016-06-30,0.06777903143489228,"{'SPY': 0.18883085815065626, 'QQQ': 0.08576506620063358, 'TLT': 0.15875307734609378, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.08398270618814106, 'HYG': 0.2362300407950026, 'DBC': 0.0883882155936445, 'GLD': 0.026039961355326643, 'SHY': 0.1320100743705016}"
2016-07-29,0.07102057049433373,"{'SPY': 0.19020083240790234, 'QQQ': 0.09881547197885687, 'TLT': 0.1546976865490677, 'IEF': 0.003422007102188268, 'TIP': 0.0, 'LQD': 0.08562996188164698, 'HYG': 0.20895893294992002, 'DBC': 0.08862717613388439, 'GLD': 0.041821643231090104, 'SHY': 0.12782628776544344}"
2016-08-31,0.09274704815461886,"{'SPY': 0.18711707595213783, 'QQQ': 0.1146995130037297, 'TLT': 0.1383182483443129, 'IEF': 0.01651263678603144, 'TIP': 0.0, 'LQD': 0.08817063850202861, 'HYG': 0.1852382340826568, 'DBC': 0.0889163532969978, 'GLD': 0.056390642816188497, 'SHY': 0.12463665721591656}"
2016-09-30,0.06253813701354394,"{'SPY': 0.20180853874783422, 'QQQ': 0.09492894177463655, 'TLT': 0.1377882506208531, 'IEF': 0.008398615096582846, 'TIP': 0.0, 'LQD': 0.0890315202358168, 'HYG': 0.18238375621788633, 'DBC': 0.08972659779248171, 'GLD': 0.06571128739346371, 'SHY': 0.1302224921204448}"
