date,value
2021-11-10,-0.007929201317824153
2021-11-11,-0.007833682505546502
2021-11-12,-0.005602257851643255
2021-11-15,-0.009701670619560732
2021-11-16,-0.010090260707056875
2021-11-17,-0.006454616728795992
2021-11-18,-0.004184587970633813
2021-11-19,-0.0019834553678531597
2021-11-22,-0.011562673823706904
2021-11-23,-0.017421966684816326
2021-11-24,-0.012195188832789472
2021-11-26,-0.009727299154016267
2021-11-29,-0.007743717725569588
2021-11-30,-0.009183203473364987
2021-12-01,-0.010564231020744108
2021-12-02,-0.007887242654676885
2021-12-03,-0.0059031587821559706
2021-12-06,-0.007604563113806084
2021-12-07,-0.002868605268512181
2021-12-08,-0.006727286868548843
2021-12-09,-0.008585212083946359
2021-12-10,-0.005427501730506545
2021-12-13,-0.0035689390856243897
2021-12-14,-0.008363325278878508
2021-12-15,-0.005007340381995684
2021-12-16,-0.006760018599852313
2021-12-17,-0.0064751371959991255
2021-12-20,-0.0121912793765232
2021-12-21,-0.008316335153452314
2021-12-22,-0.002402497722605923
2021-12-23,-0.0026617809062289277
2021-12-27,0.0
2021-12-28,-0.002298982329644539
2021-12-29,-0.005860207830780451
2021-12-30,-0.002835763705554828
2021-12-31,-0.0026873248813018558
2022-01-03,-0.011391073440676247
2022-01-04,-0.012721188808775374
2022-01-05,-0.022290292915679633
2022-01-06,-0.024268463239056848
2022-01-07,-0.027845678442302457
2022-01-10,-0.027090914707121216
2022-01-11,-0.01997589811971323
2022-01-12,-0.019607183190174404
2022-01-13,-0.0224138049174617
2022-01-14,-0.027311924292638623
2022-01-18,-0.03845907448146557
2022-01-19,-0.03704731429137875
2022-01-20,-0.03891596156029553
2022-01-21,-0.041771393724424066
2022-01-24,-0.04181091126231862
2022-01-25,-0.0465990008490863
2022-01-26,-0.0539431614427599
2022-01-27,-0.052600249461513426
2022-01-28,-0.04479170203676264
2022-01-31,-0.03897034073284711
2022-02-01,-0.040622337661464725
2022-02-02,-0.038113206585298265
2022-02-03,-0.042841738886745806
2022-02-04,-0.05109412429256954
2022-02-07,-0.04966645026351868
2022-02-08,-0.05301014239394908
2022-02-09,-0.05142198256477937
2022-02-10,-0.06164788164572654
2022-02-11,-0.04983881796530376
